context,question,answer,answer_start,answer_end
all of notre dames undergraduate students are a part of one of the five hundred graduate college is that the school or are in the first year of studies program. the first year of studies program was established in nineteen sixty two to guide incoming freshmen in their first year at the school before they have declared a major. each student is given an academic advisor from the program who helps them to choose classes that get them exposure to any major in which they are interested. the program also includes a learning resource center which provides time management collaborative learning and subject to during. this program has been recognized previously by u s. news and world report as outstanding.,What entity provides help with the management of time for new students at Notre Dame?,learning resource center,515,539
all of notre dames undergraduate students are a part of one of the five hundred graduate college is that the school or are in the first year of studies program. the first year of studies program was established in nineteen sixty two to guide incoming freshmen in their first year at the school before they have declared a major. each student is given an academic advisor from the program who helps them to choose classes that get them exposure to any major in which they are interested. the program also includes a learning resource center which provides time management collaborative learning and subject to during. this program has been recognized previously by u s. news and world report as outstanding.,How many colleges for undergraduates are at Notre Dame?,five,67,71
all of notre dames undergraduate students are a part of one of the five hundred graduate college is that the school or are in the first year of studies program. the first year of studies program was established in nineteen sixty two to guide incoming freshmen in their first year at the school before they have declared a major. each student is given an academic advisor from the program who helps them to choose classes that get them exposure to any major in which they are interested. the program also includes a learning resource center which provides time management collaborative learning and subject to during. this program has been recognized previously by u s. news and world report as outstanding.,What was created at Notre Dame in 1962 to assist first year students?,the first year of studies program,126,159
the university first offered graduate degrees in the form of a master of arts not in the eighteen fifty four to eighteen fifty five academic year. the program expanded to include master of laws l l n n master of civil engineering in its early stages of growth before a formal graduate school education was developed with the peace is not required to receive the degrees. this changed in nineteen twenty four with formal requirements developed for graduate degrees including offering doctor in phd degrees. today each of the five colleges for graduate education. most of the departments from the college of arts and letters offer phd programs while a professional master of divinity and the ivy program also exists. all of the departments in the college of science offer phd programs except for the department of pre professionals daddies. the school of architecture offers a master of architecture while each of the departments of the college of engineering offer phd programs. the college of business offers multiple professional programs including implying master of science in accountancy programs. it also operates facilities in chicago in cincinnati for its executive him bob program. additionally the alliance for catholic education program offers the master of education program where students study at the university during the summer in teaching catholic elementary schools middle schools and high schools across the southern united states for to school years.,What type of degree is an M.Div.?,master of divinity,663,681
the university first offered graduate degrees in the form of a master of arts not in the eighteen fifty four to eighteen fifty five academic year. the program expanded to include master of laws l l n n master of civil engineering in its early stages of growth before a formal graduate school education was developed with the peace is not required to receive the degrees. this changed in nineteen twenty four with formal requirements developed for graduate degrees including offering doctor in phd degrees. today each of the five colleges for graduate education. most of the departments from the college of arts and letters offer phd programs while a professional master of divinity and the ivy program also exists. all of the departments in the college of science offer phd programs except for the department of pre professionals daddies. the school of architecture offers a master of architecture while each of the departments of the college of engineering offer phd programs. the college of business offers multiple professional programs including implying master of science in accountancy programs. it also operates facilities in chicago in cincinnati for its executive him bob program. additionally the alliance for catholic education program offers the master of education program where students study at the university during the summer in teaching catholic elementary schools middle schools and high schools across the southern united states for to school years.,Which program at Notre Dame offers a Master of Education degree?,alliance for catholic education,1207,1238
the junkie. croc institute for international peace studies at the university of notre dame is dedicated to research education and outreach on the causes of violent conflict and the conditions for sustainable peace. it offers phd masters and under graduate degrees in peace buddies. it was founded in nineteen eighty six through their donations of junkie. crack the widow of mc donalds owner re cross. the institute was inspired by the vision of the rat. the adore him. has burned see essie president emeritus of the university of notre dame. the institute has contributed to international policy discussions about keith building practices.,What is the title of Notre Dame's Theodore Hesburgh?,president emeritus of the university of notre dame,490,540
the library system of the university is divided between the main library in each of the colleges and schools. the main building is the fourteen story theodore n. has burnt library completed in nineteen sixty three which is the third building to house the main collection of books. the friend of the library is adorned with the word of life mural designed by artist millard she is. this mural is popularly known as touchdown jesus because of its proximity to notre dame stadium and jesus arms appearing to make the signal for a touchdown.,What is a common name to reference the mural created by Millard Sheets at Notre Dame?,touchdown jesus,414,429
in twenty fifteen twenty sixteen notre dame ranked eighteenth overall among national universities in the united states in u s. news and world report best colleges twenty sixteen. in twenty four team usa today rank notre dame tenth overall for american universities based on data from college factual. flirts cons americas best colleges ranks notre dame thirteenth among colleges in the united states in twenty fifteen ate them on research universities and first in the midwest. you asked. news and world report also lists notre dame law school is twenty second overall. business week ranks mendoza college of business under graduate school as first overall. it ranks the im bob program is twentieth overall. the philosophical core may report ranks notre dames graduate philosophy program is fifteenth nationally while architect magazine rape the undergraduate architecture program as twelfth nationally. additionally the study abroad program rank sixth in highest participation percentage in the nation with fifty seven six percent of students choosing to study abroad in seventeen countries. according to pay scale calm undergraduate alumni of the university of notre dame have ended career median salary one hundred ten dollars oh no making it the twenty fourth highest among colleges and universities in the united states. the median starting salary of fifty five thousand three hundred dollars ranked fifty eight in the same peer group.,In 2014 what entity named Notre Dame 10th best of all American universities?,usa today,199,208
father joseph carrier c s c. was director of the science museum in the library and professor of chemistry and physics until eighteen seventy four. carrier time that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the church. one of carriers students was father john augustine sam eighteen fifty one to nineteen twenty one who was made professor in co director of the science department at age twenty three and by nineteen hundred was a nationally prominent scientist and naturalists. sam was active in the catholic summer school movement which introduced catholic laity to contemporary intellectual issues. his book evolution and dogma eighteen ninety six defendants certain aspects of evolutionary theory is true and argued moreover that even the great church teachers thomas aquinas and augustine type something like it. the intervention of irish american catholics in rome prevented sam censure by the vatican. in nineteen thirteen examine former president theodore roosevelt embarked on a major expedition through the amazon.,What program did John Augustine Zahm come to co-direct at Nore Dame?,the science department,446,468
father joseph carrier c s c. was director of the science museum in the library and professor of chemistry and physics until eighteen seventy four. carrier time that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the church. one of carriers students was father john augustine sam eighteen fifty one to nineteen twenty one who was made professor in co director of the science department at age twenty three and by nineteen hundred was a nationally prominent scientist and naturalists. sam was active in the catholic summer school movement which introduced catholic laity to contemporary intellectual issues. his book evolution and dogma eighteen ninety six defendants certain aspects of evolutionary theory is true and argued moreover that even the great church teachers thomas aquinas and augustine type something like it. the intervention of irish american catholics in rome prevented sam censure by the vatican. in nineteen thirteen examine former president theodore roosevelt embarked on a major expedition through the amazon.,What book did John Zahm write in 1896?,evolution and dogma,699,718
father joseph carrier c s c. was director of the science museum in the library and professor of chemistry and physics until eighteen seventy four. carrier time that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the church. one of carriers students was father john augustine sam eighteen fifty one to nineteen twenty one who was made professor in co director of the science department at age twenty three and by nineteen hundred was a nationally prominent scientist and naturalists. sam was active in the catholic summer school movement which introduced catholic laity to contemporary intellectual issues. his book evolution and dogma eighteen ninety six defendants certain aspects of evolutionary theory is true and argued moreover that even the great church teachers thomas aquinas and augustine type something like it. the intervention of irish american catholics in rome prevented sam censure by the vatican. in nineteen thirteen examine former president theodore roosevelt embarked on a major expedition through the amazon.,What professorship did Father Josh Carrier hold at Notre Dame?,professor of chemistry and physics,83,117
in eighteen eighty two albert sam john sams brother bill generally when finally he is to compare led to drag of aeronautical models. around eighty ninety nine professor jerome green became the first american to send a wireless message. in nineteen thirty one father julius kneeling performed early work on basic reactions that was used to create me upbringing. steady of nuclear physics at the university began with the building of the nuclear accelerator in nineteen thirty six and continues now partly through a partnership in the joint institute for nuclear astrophysics.,Which professor sent the first wireless message in the USA?,professor jerome green,159,181
the review of politics was founded in nineteen thirty nine by korean modeled after german catholic journals. it quickly emerged as part of an international catholic intellectual revival offering an alternative vision deposited this philosophy. for forty four years the review was edited by korean matthew fitzsimmons frederick crossing and thomas stretched. intellectual leaders included korean jock mary kane frank omalley leo richard lord bath. and. hermans hinge on you. any f. it became a major foreign for political ideas in modern political concerns especially from the catholic and scholastic tradition.,Gurian created what in 1939 at Notre Dame?,the review of politics,0,22
the review of politics was founded in nineteen thirty nine by korean modeled after german catholic journals. it quickly emerged as part of an international catholic intellectual revival offering an alternative vision deposited this philosophy. for forty four years the review was edited by korean matthew fitzsimmons frederick crossing and thomas stretched. intellectual leaders included korean jock mary kane frank omalley leo richard lord bath. and. hermans hinge on you. any f. it became a major foreign for political ideas in modern political concerns especially from the catholic and scholastic tradition.,What was the Review of Politics inspired by?,german catholic journals,83,107
the review of politics was founded in nineteen thirty nine by korean modeled after german catholic journals. it quickly emerged as part of an international catholic intellectual revival offering an alternative vision deposited this philosophy. for forty four years the review was edited by korean matthew fitzsimmons frederick crossing and thomas stretched. intellectual leaders included korean jock mary kane frank omalley leo richard lord bath. and. hermans hinge on you. any f. it became a major foreign for political ideas in modern political concerns especially from the catholic and scholastic tradition.,Thomas Stritch was an editor of which publican from Notre Dame?,review of politics,4,22
as of twenty twelve update research continued in many fields. the university president john jenkins described his hope that notre dame would become one of the preeminent research institutions then the world in his inaugural address. the university has many mom tie disciplinary institutes devoted to research in varying fields including the medieval institute the kellogg institute for international studies the croc institute for international peace daddies and the center for social concerns. recent research includes work on family conflict in child development gino mapping the increasing trade deficit of the united states with china studies in fluid mechanics computational science and engineering and marketing trends on the internet. as of twenty thirteen the university is home to the notre dame global adaptation index which ranks countries manually based on how vulnerable they are to climate change and how prepared there to adapt.,Who was the president of Notre Dame in 2012?,john jenkins,87,99
as of twenty twelve update research continued in many fields. the university president john jenkins described his hope that notre dame would become one of the preeminent research institutions then the world in his inaugural address. the university has many mom tie disciplinary institutes devoted to research in varying fields including the medieval institute the kellogg institute for international studies the croc institute for international peace daddies and the center for social concerns. recent research includes work on family conflict in child development gino mapping the increasing trade deficit of the united states with china studies in fluid mechanics computational science and engineering and marketing trends on the internet. as of twenty thirteen the university is home to the notre dame global adaptation index which ranks countries manually based on how vulnerable they are to climate change and how prepared there to adapt.,The Kellogg Institute for International Studies is part of which university?,notre dame,124,134
as of twenty twelve update research continued in many fields. the university president john jenkins described his hope that notre dame would become one of the preeminent research institutions then the world in his inaugural address. the university has many mom tie disciplinary institutes devoted to research in varying fields including the medieval institute the kellogg institute for international studies the croc institute for international peace daddies and the center for social concerns. recent research includes work on family conflict in child development gino mapping the increasing trade deficit of the united states with china studies in fluid mechanics computational science and engineering and marketing trends on the internet. as of twenty thirteen the university is home to the notre dame global adaptation index which ranks countries manually based on how vulnerable they are to climate change and how prepared there to adapt.,What threat does the Global Adaptation Index study?,climate change,896,910
in twenty four team the notre dame student body consisted of twelve one hundred seventy nine students with a four hundred forty eight undergraduates to one hundred thirty eight graduate and professional in line five hundred ninety three professional law and the ivy business them and students. around twenty one to twenty four percent of students are children of alumni and although thirty seven percent of students come from the midwestern united states the student body represents all fifty states in one hundred countries. as of march two thousand seven update the princeton review rank the school is the fifth highest dreams school for parents to send their children. as of march twenty fifteen update the princeton review rain notre dame is the ninth highest. the school has been previously criticized for its lack of diversity and the princeton review ranks the university highly among schools that which alternative lifestyles are not an alternative it has also been commanded by some diversity oriented publications hispanic magazine in ten thousand for rank the university ninth on its list of the top twenty five colleges for latinos and the journal of blacks in higher education recognize the university in two thousand six for racing in roman of african american students. with six oh hello participants the universitys intramural sports program was named in ten thousand for by sports illustrated as the best program in the country while in two thousand seven the princeton review named it as the top school where everyone plays intramural sports the annual bookstore basketball tournament is the largest outdoor five on five tournament in the world with over seven hundred teams participating each year while the notre dame mans boxing club has the annual ben gaul ballots tournament that raises money for the holy cross missions in bangladesh.,For what cause is money raised at the Bengal Bouts tournament at Notre Dame?,the holy cross missions in bangladesh,1820,1857
about eighty percent of undergraduates in twenty percent of graduate students live on campus. the majority of the graduate students on campus live in one of four gradually housing complex is on campus while on campus undergraduates live in one of the twenty nine residence halls. because of the religious affiliation of the university all residence halls are single sex with fifteen male dorms and fourteen female dorms. the university maintains a visiting policy known as parietal hours for those students who live in dormitories specifying times when members of the opposite sex are allowed to visit other students dorm rooms however all residence halls have twenty four hours social spaces for students regardless of gender. many residence halls have at least one nine and our priest as a resident. there are no traditional social fraternities are sororities at the university but a majority of students live in the same residence hall for all four years. some intramural sports are based on residence hall teams where the university offers the only non military academy program of full contact intramural american football. at the end of the intramural season the championship game is played on the field in notre dame stadium.,How many student housing areas are reserved for Notre Dame's graduate students?,four,157,161
this main building and the library collection was entirely destroyed by a fire in april eighteen seventy nine and the school closed immediately and students were sent home. the university founder f r. soaring and the president at the time the rent. william corby immediately plan for the rebuilding of the structures that have housed virtually the entire university. construction was started on the seventeenth of may and by the incredible zeal of a administrator and workers the building was completed before the fall semester of eighteen seventy nine. the library collection was also rebuilt in spain housed in the new main building for years afterwards. around the time of the fire the music hall was opened. eventually becoming known as washington hall a hosted placing musical act put on by the school. by eighteen eighty as science program was established at the university and a science hall today lafferty in student center was built in eighteen eighty three. the hall housed multiple classrooms in science labs needed for early research at the university.,What was the music hall at Notre Dame called?,washington hall,741,756
in nineteen nineteen father james byrnes became president of notre dame and in three years he produced an academic revolution that brought the scalloped a national standards by adopting the electives system and moving away from the universitys traditional scholastic in classical emphasis. by contrast the jesuit college and bastions of academic conservatism were reluctant to move to a system of electives. their graduates were shut out of harvard law school for that reason. notre dame continue to grow over the years adding more colleges programs in sports teams. by nineteen twenty one with the addition of the college of commerce notre dame had grown from a small college to university with five colleges and a professional law school. the university continue to expand in that new residence halls and buildings with each subsequent president.,Which college did Notre Dame add in 1921?,college of commerce,615,634
in nineteen nineteen father james byrnes became president of notre dame and in three years he produced an academic revolution that brought the scalloped a national standards by adopting the electives system and moving away from the universitys traditional scholastic in classical emphasis. by contrast the jesuit college and bastions of academic conservatism were reluctant to move to a system of electives. their graduates were shut out of harvard law school for that reason. notre dame continue to grow over the years adding more colleges programs in sports teams. by nineteen twenty one with the addition of the college of commerce notre dame had grown from a small college to university with five colleges and a professional law school. the university continue to expand in that new residence halls and buildings with each subsequent president.,Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?,three years,79,90
in nineteen nineteen father james byrnes became president of notre dame and in three years he produced an academic revolution that brought the scalloped a national standards by adopting the electives system and moving away from the universitys traditional scholastic in classical emphasis. by contrast the jesuit college and bastions of academic conservatism were reluctant to move to a system of electives. their graduates were shut out of harvard law school for that reason. notre dame continue to grow over the years adding more colleges programs in sports teams. by nineteen twenty one with the addition of the college of commerce notre dame had grown from a small college to university with five colleges and a professional law school. the university continue to expand in that new residence halls and buildings with each subsequent president.,Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,harvard law school,441,459
one of the main driving forces in the growth of the university was its football team the notre dame fighting irish. can you rockne became head coach in nineteen eighteen. under rockne the irish would pose to record of one hundred five wins twelve blouses and five times. during his thirteen years the irish won three national championships had five undefeated seasons when the rose bowl in nineteen twenty five and produced players such as george get in the four horsemen. can you rockne has the highest winning percentage point eight eight wine in and see double a division i f b s football history. rock nice offenses employed the notre dame box in his defenses ran as seven to two scheme. the last game rockne coached was on december fourteenth nineteen thirty when he led a group of notre dame all stars against the new york giants in new york city.,How many national titles were won when Knute Rockne coached at Notre Dame?,three,311,316
the success of its football team made notre dame a household name. the success of notre dame reflected rising status of irish americans and catholics in the nineteen twenties. catholics rallied up around the team and listen to the games on the radio especially when it knocked off the schools that symbolized the protestant establishment in america harvard yale princeton and army. yet this role as high profile flagship institution of catholicism made it an easy target of anti catholicism. the most remarkable episode of violence was the clash between notre dame students and the ku klux klan in nineteen twenty four. nativism and anti catholicism especially when directed towards immigrants were cornerstones of the kkk s rhetoric and notre dame was seen as a symbol of the threat posed by the catholic church. the klan decided to have a weeklong clattering in south bend. clashes with the student body started on march seventeenth when students aware of the anti catholic animosity block the klansmen from descending from their trains in the south bend station and read the kkk clothes and regalia. on may nineteenth thousands of students mass downtown protesting the clever in and only the arrival of college president f honor. matthew walsh prevented any further clashes. the next day football coach can you brought me spoke at a campus rally and implored the students to obey the college president and refrain from further violence. a few days later the classroom broke got but the hostility shown by the students wasnt all men and a contribution to the downfall of the kkk in indiana.,"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?",the protestant establishment,309,337
the success of its football team made notre dame a household name. the success of notre dame reflected rising status of irish americans and catholics in the nineteen twenties. catholics rallied up around the team and listen to the games on the radio especially when it knocked off the schools that symbolized the protestant establishment in america harvard yale princeton and army. yet this role as high profile flagship institution of catholicism made it an easy target of anti catholicism. the most remarkable episode of violence was the clash between notre dame students and the ku klux klan in nineteen twenty four. nativism and anti catholicism especially when directed towards immigrants were cornerstones of the kkk s rhetoric and notre dame was seen as a symbol of the threat posed by the catholic church. the klan decided to have a weeklong clattering in south bend. clashes with the student body started on march seventeenth when students aware of the anti catholic animosity block the klansmen from descending from their trains in the south bend station and read the kkk clothes and regalia. on may nineteenth thousands of students mass downtown protesting the clever in and only the arrival of college president f honor. matthew walsh prevented any further clashes. the next day football coach can you brought me spoke at a campus rally and implored the students to obey the college president and refrain from further violence. a few days later the classroom broke got but the hostility shown by the students wasnt all men and a contribution to the downfall of the kkk in indiana.,Notre Dame students had a showdown in 1924 with which anti-catholic group?,the ku klux klan,578,594
the success of its football team made notre dame a household name. the success of notre dame reflected rising status of irish americans and catholics in the nineteen twenties. catholics rallied up around the team and listen to the games on the radio especially when it knocked off the schools that symbolized the protestant establishment in america harvard yale princeton and army. yet this role as high profile flagship institution of catholicism made it an easy target of anti catholicism. the most remarkable episode of violence was the clash between notre dame students and the ku klux klan in nineteen twenty four. nativism and anti catholicism especially when directed towards immigrants were cornerstones of the kkk s rhetoric and notre dame was seen as a symbol of the threat posed by the catholic church. the klan decided to have a weeklong clattering in south bend. clashes with the student body started on march seventeenth when students aware of the anti catholic animosity block the klansmen from descending from their trains in the south bend station and read the kkk clothes and regalia. on may nineteenth thousands of students mass downtown protesting the clever in and only the arrival of college president f honor. matthew walsh prevented any further clashes. the next day football coach can you brought me spoke at a campus rally and implored the students to obey the college president and refrain from further violence. a few days later the classroom broke got but the hostility shown by the students wasnt all men and a contribution to the downfall of the kkk in indiana.,Where did Notre Dame students and the KKK have their encounter?,south bend,864,874
holy cross father john francis ohara was elected vice president in nineteen thirty three and president of notre dame in nineteen thirty four. during his tenure at notre dame he brought numerous refugee intellectuals to campus he selected frank apes. spearman jeremiah d. anne. ford or been able and josephine browns and for the late tirade metal instituted in eighteen eighty three. ohara strongly believe that the fighting irish football team could be an effective means to acquaint the public with the ideals that dominate notre dame. he wrote notre dame football is a spiritual service because it is played for the honor and glory of god and of his blasted mother. when street. paul said whether you eat or drink or whatsoever else you do you all for the glory of god he included football closed.,Which person became vice-president of Notre Dame in 1933?,father john francis ohara,11,36
holy cross father john francis ohara was elected vice president in nineteen thirty three and president of notre dame in nineteen thirty four. during his tenure at notre dame he brought numerous refugee intellectuals to campus he selected frank apes. spearman jeremiah d. anne. ford or been able and josephine browns and for the late tirade metal instituted in eighteen eighty three. ohara strongly believe that the fighting irish football team could be an effective means to acquaint the public with the ideals that dominate notre dame. he wrote notre dame football is a spiritual service because it is played for the honor and glory of god and of his blasted mother. when street. paul said whether you eat or drink or whatsoever else you do you all for the glory of god he included football closed.,Who was the president of Notre Dame in 1934?,father john francis ohara,11,36
holy cross father john francis ohara was elected vice president in nineteen thirty three and president of notre dame in nineteen thirty four. during his tenure at notre dame he brought numerous refugee intellectuals to campus he selected frank apes. spearman jeremiah d. anne. ford or been able and josephine browns and for the late tirade metal instituted in eighteen eighty three. ohara strongly believe that the fighting irish football team could be an effective means to acquaint the public with the ideals that dominate notre dame. he wrote notre dame football is a spiritual service because it is played for the honor and glory of god and of his blasted mother. when street. paul said whether you eat or drink or whatsoever else you do you all for the glory of god he included football closed.,For whos glory did Father O'Hara believed that the Notre Dame football team played?,god,637,640
